name,area,price,floor,build,add,mart,school,sub,bank,cafe,hos,old
까치마을(1단지)(대우롯데선경),84.79,"       125,000",14,1995,미금로 184,4,3,2,7,6,9,27
까치마을(2단지)(주공),49.67,"        86,500",12,1995,미금일로 22,4,4,1,6,3,2,27
까치마을(2단지)(주공),58.14,"        64,000",3,1995,미금일로 22,4,4,1,6,3,2,27
무지개(10단지)(삼성),134.97,"       125,000",8,1996,구미로 100,4,3,0,9,17,22,26
무지개(12단지)(주공뜨란체),58.14,"        71,000",3,1995,미금로22번길 10,6,1,0,15,37,28,27
무지개(1단지)(대림),84.97,"       104,000",14,1995,미금로 23,7,2,0,9,25,25,27
무지개(2단지)(엘지),101.85,"       127,500",16,1995,구미로 50,8,2,1,13,32,30,27
무지개(3단지)(건영),53.83,"        75,000",13,1996,미금로 63,7,2,1,15,33,34,26
무지개(4단지)(주공),59.98,"        90,000",22,1995,미금로 66,6,2,1,8,17,22,27
청솔마을(서광),70.01,"       110,000",14,1995,성남대로171번길 8,4,1,2,31,90,103,27
청솔마을(주공9단지),36.54,"        70,400",7,1995,미금로 216,5,2,2,14,22,62,27
청솔마을(주공9단지),36.54,"        68,000",10,1995,미금로 216,5,2,2,14,22,62,27
판교더샵포레스트11단지,84.9852,"        83,500",5,2021,판교대장로5길 58,0,0,0,0,1,0,1
백현마을2단지(주공)일부임대,118.94,"       156,900",7,2009,동판교로 122,5,5,3,3,6,3,13
판교알파리움2단지,96.815,"       209,000",19,2015,판교역로 145,2,2,2,11,61,16,7
판교푸르지오그랑블,105.1308,"       262,500",9,2011,동판교로 123,4,4,2,16,63,31,11
판교푸르지오그랑블,103.9649,"       185,000",1,2011,동판교로 123,4,4,2,16,63,31,11
샛별마을(우방),72.32,"       113,000",13,1994,수내로 181,4,3,0,5,17,12,28
샛별마을(우방),57.28,"        91,000",10,1994,수내로 181,4,3,0,5,17,12,28
시범삼성,192.15,"       220,000",14,1991,중앙공원로 53,4,3,1,19,77,47,31
시범삼성,84.69,"       138,000",1,1991,중앙공원로 53,4,3,1,19,77,47,31
시범삼성,192.15,"       220,000",28,1991,중앙공원로 53,4,3,1,19,77,47,31
시범우성,45.99,"        85,000",3,1991,중앙공원로 54,3,4,0,13,35,23,31
시범우성,64.8,"       115,000",13,1991,중앙공원로 54,3,4,0,13,35,23,31
시범우성,84.6,"       147,000",5,1991,중앙공원로 54,3,4,0,13,35,23,31
시범한신,84.69,"       148,500",4,1991,중앙공원로 53,4,3,1,19,77,47,31
시범한신,84.69,"       153,000",6,1991,중앙공원로 53,4,3,1,19,77,47,31
시범한신,84.69,"       148,000",4,1991,중앙공원로 53,4,3,1,19,77,47,31
시범한양,59.13,"       123,000",13,1991,중앙공원로 17,3,4,1,24,71,33,31
시범현대,84.57,"       146,000",12,1991,중앙공원로 20,3,2,0,12,28,20,31
시범현대,84.57,"       145,000",19,1991,중앙공원로 20,3,2,0,12,28,20,31
시범현대,49.41,"        85,000",3,1991,중앙공원로 20,3,2,0,12,28,20,31
시범현대,84.57,"       154,000",6,1991,중앙공원로 20,3,2,0,12,28,20,31
시범현대,193.44,"       181,500",5,1991,중앙공원로 20,3,2,0,12,28,20,31
효자촌(대우),53.82,"        82,500",10,1994,분당로263번길 13,5,3,0,8,24,25,28
효자촌(대창),70.686,"       101,000",2,1994,분당로263번길 13,5,3,0,8,24,25,28
효자촌(럭키),84.696,"       124,500",17,1994,불정로 362,5,6,0,9,23,23,28
효자촌(현대),128.04,"       159,500",5,1992,분당로201번길 17,4,4,0,13,28,27,30
효자촌(현대),84.6,"       115,500",1,1992,분당로201번길 17,4,4,0,13,28,27,30
양지마을(2단지)(청구),134.8,"       198,000",10,1992,내정로 185,2,3,1,12,22,29,30
양지마을(5단지)(한양501-514),42.56,"        91,000",15,1992,내정로165번길 35,2,3,1,31,77,68,30
양지마을(금호1),133.82,"       190,000",4,1992,수내로 74,2,2,1,25,64,39,30
양지마을(금호1),84.9,"       162,500",2,1992,수내로 74,2,2,1,25,64,39,30
파크타운(삼익),101.91,"       169,900",16,1993,내정로166번길 42,3,5,0,11,21,30,29
푸른마을(쌍용),131.4,"       177,000",7,1992,백현로 227,3,4,0,10,30,20,30
매화마을공무원1,49.67,"        79,700",6,1995,매화로 92,6,4,1,10,27,8,27
매화마을공무원2,58.71,"        85,500",10,1995,장미로 139,6,3,1,10,53,12,27
목련마을(영남),84.93,"        95,000",9,1995,판교로 669,2,0,2,25,102,29,27
야탑진흥더블파크,84.93,"       105,000",12,2005,야탑로 162,7,1,1,10,47,7,17
장미마을(동부),84.99,"       122,000",7,1993,장미로 55,5,1,1,15,67,26,29
장미마을(동부),59.76,"       103,000",9,1993,장미로 55,5,1,1,15,67,26,29
장미마을(코오롱)1,74.14,"        99,500",2,1993,장미로 55,5,1,1,15,67,26,29
현대I-PARK,177.7238,"       168,000",12,2003,야탑로 125,6,2,1,28,84,77,19
산운마을13단지(태영),84.92,"       146,500",16,2010,판교원로82번길 30,3,0,0,1,1,0,12
산운마을8단지(부영사랑으로),81.019,"       138,000",7,2008,산운로 98,3,3,0,5,20,13,14
산운마을9단지(대방노블랜드),84.99,"        81,500",7,2008,산운로 126,3,3,0,12,29,24,14
아름마을(건영),133.89,"       165,000",10,1992,판교로 430,5,3,0,7,21,23,30
이매촌(동부코오롱),126.2,"       180,000",11,1993,양현로 88,5,3,3,20,42,49,29
이매촌(삼성),127.83,"       170,000",13,1994,양현로 192,2,4,2,6,19,8,28
더샵분당파크리버,84.925,"       165,000",22,2021,돌마로 171,4,3,0,8,4,1,1
더샵분당파크리버,74.9994,"       143,000",13,2021,돌마로 171,4,3,0,8,4,1,1
분당파크뷰,139.68,"       237,000",5,2004,정자일로 248,4,3,1,15,26,31,18
분당파크뷰,182.232,"       295,000",2,2004,정자일로 248,4,3,1,15,26,31,18
상록마을(라이프1차),101.76,"       151,000",3,1994,정자로 56,7,4,2,19,80,56,28
상록마을(임광),84.97,"       130,000",17,1995,정자일로 80,5,6,0,12,31,10,27
상록마을(임광),48.84,"        80,000",1,1995,정자일로 80,5,6,0,12,31,10,27
성원상떼뷰201동,144.56,"       171,000",4,2004,정자일로213번길 18,4,3,2,23,76,56,18
한솔마을(1단지)(청구),49.35,"        79,000",5,1994,불정로 219,4,4,0,4,18,8,28
한솔마을(4단지)(주공),41.85,"        76,500",6,1994,백현로 206,4,3,0,8,22,18,28
한솔마을(4단지)(주공),41.85,"        75,000",4,1994,백현로 206,4,3,0,8,22,18,28
한솔마을(5단지)(주공),51.66,"        91,000",13,1994,정자로 115,4,4,0,11,19,30,28
판교원마을12단지(힐스테이트),115.87,"       152,000",5,2009,서판교로 165,0,1,0,5,4,2,13
판교원마을7단지(모아미래도),56.555,"       114,000",15,2009,판교원로 237,3,2,0,8,30,16,13
