,,,,,,,,,,산업지역 개발현황,,,입주업체수
년(Annual),산업단지명,유치업종,지정일자,사업기간,사업시행자,녹지지역,산업지역,상업지역,주거지역,개발대상,개발현황,미개발,입주업체수
2018,도시첨단산업단지 Urban high-tech indsutrial complex(27),-,-,-,-,959.,"4,766.",155.,"1,467.","3,572.","1,885.","1,687.",602.
,회동·석대,"금속,통신장비,전기장비,기계장비",2008-08-27,2007~2013,(주)부산첨단산업단지개발,.,215.,.,14.,127.,127.,.,106.
,모라,"지식산업,정보통신산업,첨단업종",2012-04-11,2011~2015,부산벤처산업단지개발(주),.,.,.,11.,6.,6.,.,165.
,부산에코델타시티,"통신장비,전기장비,출판업,방송업",2015-12-30,2012~2018,"부산광역시, 한국수자원공사, 부산도시공사",159.,501.,.,.,362.,213.,148.,.
,대구신서,"연구개발업, 교육서비스업",2014-12-29,2014~2015,한국토지주택공사,38.,.,.,111.,98.,98.,.,.
,율하,"통신장비,의료기기,기계장비",2017-12-29,2017~2020,"한국토지주택공사, 대구도시공사",3.,133.,.,30.,101.,.,101.,.
,IHP,"정보통신,자동차,로봇,신소재",2011-08-01,2011~2019,한국토지주택공사,268.,903.,.,.,645.,406.,239.,24.
,남동,"의약품,통신장비,전기장비,자동차",2017-12-29,2017~2020,한국토지주택공사,.,199.,.,34.,131.,.,131.,.
,남구,"통신장비,전기장비,기계장비,연구개발업",2015-12-30,2015~2019,광주광역시도시공사,116.,251.,26.,94.,227.,177.,50.,.
,행정중심복합4-2,"첨단산업,지식문화산업",2015-06-08,2015~2020,한국토지주택공사,216.,.,.,534.,238.,143.,95.,54.
,안양평촌스마트스퀘어,"통신장비,의료기기,전기장비,출판업",2012-04-03,2012~2017,에이엘디제일차피에프브이(주),.,255.,.,.,111.,111.,.,28.
,동탄,"지식문화산업,인쇄,의약품,금속가공",2014-02-28,2013~2021,한국토지주택공사,8.,.,13.,129.,95.,95.,.,63.
,판교제2테크노밸리,"첨단,지식,문화,정보통신 산업",2015-11-30,2015~2021,"한국토지주택공사,경기도시공사,경기도,성남시",15.,286.,48.,82.,139.,76.,63.,.
,용인기흥힉스,"통신장비,기계장비,출판업,통신업",2016-08-25,2016~2020,"㈜금당테크놀러지, ㈜무궁화신탁",4.,46.,.,26.,27.,7.,20.,.
,회천,"지식문화,정보통신산업,첨단산업",2016-11-11,2016~2023,한국토지주택공사,5.,.,.,99.,63.,.,63.,.
,용인기흥ICT밸리,"통신장비,의료기기,전기장비",2017-01-13,2017~2020,"(주)SNK,(재)서울의과학연구소,(주)교보증권",10.,30.,.,3.,18.,.,18.,.
,용인일양히포,"화학,의약품,통신장비,전기장비,출판업",2017-12-22,2017~2019,일양약품(주),.,66.,.,.,26.,.,26.,.
,춘천도시첨단문화,"지식,문화,정보통신산업,사업지원서비스업",2008-01-25,2008~2015,춘천시,21.,166.,.,.,27.,27.,.,36.
,춘천도시첨단정보,"정보서비스업,연구개발업",2010-04-30,2010~2012,(주)한국고용정보,.,.,.,25.,14.,14.,.,1.
,네이버,"출판업,시스템통합·관리업,정보서비스업",2011-10-14,2011~2014,네이버주식회사,.,101.,.,.,53.,53.,.,1.
,삼성SDS,"출판업,통신업,컴퓨터프로그래밍",2017-06-01,2016~2019,삼성에스디에스㈜,.,40.,.,.,30.,.,30.,.
,청주도시첨단문화,"정보처리,교육서비스업,방송·공연산업",2002-03-25,2002~2020,청주시,.,.,.,48.,.,.,.,74.
,충북진천·음성,"지식산업,문화산업,정보통신산업",2014-12-29,2014~2015,한국토지주택공사,.,212.,.,12.,158.,158.,.,4.
,태안,출판업,2011-11-21,2011~2014,(주)엠게임,.,39.,.,.,31.,31.,.,.
,내포,"출판업,방송업,통신업,통신장비",2015-06-26,2015~2020,"한국토지주택공사, 충청남도개발공사",82.,926.,69.,184.,654.,21.,633.,.
,전주,"컴퓨터소프트웨어,엔지니어링,정보통신서비스",2004-09-08,2004~2008,전주시,.,110.,.,.,39.,39.,.,45.
,순천,"의약품,비금속,1차금속,통신장비",2017-12-29,2017~2022,한국토지주택공사,14.,144.,.,32.,70.,.,70.,.
,창원덴소,자동차및트레일러,2005-11-10,2005~2010,창원시,.,145.,.,.,83.,83.,.,1.
2019,도시첨단산업단지 Urban high-tech indsutrial complex(28),-,-,-,-,"1,042.","5,152.",180.,"1,468.","3,728.","2,255.","1,473.",895.
,회동·석대,"금속,통신장비,전기장비,기계·장비",2008-08-27,2007~2013,(주)부산첨단산업단지개발,.,215.,.,14.,127.,127.,.,107.
,모라,"지식산업,정보통신산업,첨단업종",2012-04-11,2011~2015,부산벤처산업단지개발(주),.,.,.,11.,6.,6.,.,181.
,부산에코델타시티,"통신장비,전기장비,출판업,방송업",2015-12-30,2012~2023,"부산광역시, 한국수자원공사, 부산도시공사",159.,501.,.,.,362.,213.,148.,1.
,대구신서,"연구개발업, 교육서비스업",2014-12-29,2014~2015,한국토지주택공사,38.,.,.,111.,98.,98.,.,.
,율하,"통신장비,의료기기,기계·장비",2017-12-29,2017~2020,"한국토지주택공사, 대구도시공사",3.,133.,.,30.,101.,.,101.,.
,IHP,"정보통신,자동차,로봇,신소재",2011-08-01,2011~2019,한국토지주택공사,267.,903.,.,.,645.,516.,129.,27.
,남동,"의약품,통신장비,전기장비,자동차",2017-12-29,2017~2020,한국토지주택공사,.,199.,.,34.,131.,.,131.,.
,남구,"통신장비,전기장비,기계·장비",2015-12-30,2015~2020,광주광역시도시공사,117.,249.,26.,94.,225.,194.,32.,.
,행정중심복합4-2,"첨단산업,지식문화산업",2015-06-08,2015~2020,한국토지주택공사,216.,.,.,534.,228.,228.,.,54.
,안양평촌스마트스퀘어,"통신장비,의료기기,출판업",2012-04-03,2012~2017,에이엘디제일차피에프브이(주),.,255.,.,.,111.,111.,.,28.
,동탄,"지식문화산업,인쇄,의약품,금속",2014-02-28,2013~2021,한국토지주택공사,8.,.,13.,129.,95.,95.,.,63.
,판교제2테크노밸리,"첨단,지식,문화,정보통신 산업",2015-11-30,2015~2021,"한국토지주택공사,경기도시공사,경기도,성남시",15.,286.,48.,82.,139.,79.,60.,262.
,용인기흥힉스,"통신장비,기계장비,출판업,통신업",2016-08-25,2016~2020,"㈜금당테크놀러지, ㈜무궁화신탁",5.,45.,.,26.,27.,7.,20.,.
,회천,"지식문화,정보통신산업,첨단산업",2016-11-11,2016~2023,한국토지주택공사,5.,.,.,99.,63.,.,63.,.
,용인기흥ICT밸리,"통신장비,의료기기,전기장비,출판업",2017-01-13,2017~2020,"(주)SNK, (재)서울의과학연구소",10.,30.,.,3.,18.,13.,5.,.
,용인일양히포,"화학,의약품,통신장비,전기장비,출판업",2017-12-22,2017~2020,일양약품(주),.,66.,.,.,26.,.,26.,.
,광명시흥첨단R&D,"통신장비,의료기기,자동차,출판업",2019-04-30,2019~2022,경기도시공사,81.,387.,25.,.,137.,.,137.,.
,춘천도시첨단문화,"지식,문화,정보통신산업,사업지원서비스업",2008-01-25,2008~2015,춘천시,21.,166.,.,.,27.,27.,.,28.
,춘천도시첨단정보,"정보서비스업,연구개발업",2010-04-30,2010~2012,(주)한국고용정보,.,.,.,25.,14.,14.,.,1.
,네이버,"출판업,시스템통합·관리업,정보서비스업",2011-10-14,2011~2014,네이버주식회사,.,101.,.,.,53.,53.,.,1.
,삼성SDS,"출판업,통신업,컴퓨터프로그래밍",2017-06-01,2016~2019,삼성에스디에스㈜,.,40.,.,.,30.,28.,1.,.
,청주도시첨단문화,"정보처리,교육서비스업,방송·공연산업",2002-03-25,2002~2020,청주시,.,.,.,48.,31.,31.,.,80.
,충북진천·음성,"지식산업,문화산업,정보통신산업",2014-12-29,2014~2015,한국토지주택공사,.,212.,.,12.,158.,158.,.,4.
,태안,출판업,2011-11-21,2011~2014,(주)엠게임,.,39.,.,.,31.,31.,.,.
,내포,"출판업,방송업,통신업,통신장비",2015-06-26,2015~2020,"한국토지주택공사, 충청남도개발공사",82.,926.,69.,184.,654.,104.,549.,1.
,전주,"컴퓨터소프트웨어,엔지니어링,정보통신서비스",2004-09-08,2004~2008,전주시,.,110.,.,.,39.,39.,.,56.
,순천,"의약품,비금속,1차금속,통신장비",2017-12-29,2017~2022,한국토지주택공사,14.,144.,.,32.,70.,.,70.,.
,창원덴소,자동차및트레일러,2005-11-10,2005~2010,창원시,.,145.,.,.,83.,83.,.,1.
2020,도시첨단산업단지 Urban high-tech indsutrial complex(28),-,-,-,-,919.,"5,546.",176.,"1,839.","4,137.","2,403.","1,734.","1,230."
,회동·석대,"금속,통신장비,전기장비,기계·장비",2008-08-27,2007~2013,(주)부산첨단산업단지개발,.,215.,.,14.,127.,127.,.,110.
,모라,"지식산업,정보통신산업,첨단업종",2012-04-11,2011~2015,부산벤처산업단지개발(주),.,.,.,11.,6.,6.,.,192.
,부산에코델타시티,"통신장비,전기장비,출판업,방송업",2015-12-30,2012~2023,"부산광역시,한국수자원공사,부산도시공사",146.,513.,.,.,306.,266.,40.,1.
,금곡,"지식산업,문화산업,정보통신산업",2020-03-18,2020~2022,㈜금곡벤처밸리,.,.,.,46.,17.,.,17.,.
,대구신서,"연구개발업, 교육서비스업",2014-12-29,2014~2015,한국토지주택공사,38.,.,.,111.,98.,98.,.,.
,율하,"통신장비,의료기기,기계·장비,출판업",2017-12-29,2017~2022,"한국토지주택공사, 대구도시공사",9.,139.,10.,10.,59.,.,59.,.
,IHP,"정보통신,자동차,로봇,신소재",2011-08-01,2011~2021,한국토지주택공사,267.,903.,.,.,645.,516.,129.,34.
,남동,"의약품,통신장비,전기장비,자동차",2017-12-29,2017~2022,한국토지주택공사,.,189.,11.,33.,79.,.,79.,.
,남구,"통신장비,전기장비,기계·장비",2015-12-30,2015~2021,광주광역시도시공사,117.,249.,26.,94.,225.,212.,13.,.
,한남대캠퍼스혁신파크,"식료품,화학,금속,통신장비,의료기기",2020-10-27,2020~2025,"한국토지주택공사, 한남대학교",.,31.,.,.,20.,.,20.,.
,행정중심복합4-2,"첨단산업,지식문화산업",2015-06-08,2015~2023,한국토지주택공사,71.,.,.,828.,521.,228.,294.,22.
,안양평촌스마트스퀘어,"금속,통신장비,의료기기,출판업",2012-04-03,2012~2017,에이엘디제일차피에프브이(주),.,255.,.,.,111.,111.,.,28.
,동탄,"지식문화산업,인쇄,의약품,금속",2014-02-28,2013~2021,한국토지주택공사,8.,.,13.,129.,95.,95.,.,244.
,판교제2테크노밸리,"첨단,지식,문화,정보통신,미래성장동력 산업",2015-11-30,2015~2021,"한국토지주택공사,경기주택도시공사,경기도,성남시",15.,286.,48.,82.,129.,69.,60.,260.
,용인기흥힉스,"통신장비,기계장비,출판업,통신업",2016-08-25,2016~2020,"㈜금당테크놀러지, ㈜무궁화신탁",5.,45.,.,26.,27.,7.,20.,168.
,회천,"지식문화,정보통신산업,첨단산업",2016-11-11,2016~2023,한국토지주택공사,5.,.,.,99.,63.,.,63.,.
,용인기흥ICT밸리,"통신장비,의료기기,전기장비,출판업",2017-01-13,2017~2021,"(주)SNK,(재)서울의과학연구소 외 2개사",10.,30.,.,3.,17.,13.,4.,.
,용인일양히포,"화학,의약품,통신장비,전기장비,출판업",2017-12-22,2017~2023,일양약품(주),.,66.,.,.,26.,.,26.,.
,광명시흥,"통신장비,의료기기,자동차,출판업",2019-04-30,2019~2024,경기주택도시공사,78.,416.,.,.,126.,.,126.,.
,한양대에리카캠퍼스혁신파크,"화학,의약품,통신장비,의료기기,출판업",2020-10-27,2020~2022,"한국토지주택공사, 한양대학교",.,79.,.,.,49.,.,49.,.
,춘천도시첨단문화,"지식,문화,정보통신산업,사업지원서비스업",2008-01-25,2008~2015,춘천시,21.,166.,.,.,27.,27.,.,31.
,춘천도시첨단정보,"정보서비스업,연구개발업",2010-04-30,2010~2012,(주)한국고용정보,.,.,.,25.,14.,14.,.,1.
,네이버,"출판업,시스템통합·관리업,정보서비스업",2011-10-14,2011~2014,네이버주식회사,.,101.,.,.,53.,53.,.,1.
,삼성SDS,"출판업,통신업,컴퓨터프로그래밍",2017-06-01,2016~2019,삼성에스디에스㈜,.,40.,.,.,30.,30.,.,1.
,청주도시첨단문화,"정보처리,교육서비스업,방송·공연산업",2002-03-25,2002~2021,청주시,.,.,.,49.,31.,31.,.,61.
,충북진천·음성,"지식산업,문화산업,정보통신산업",2014-12-29,2014~2015,한국토지주택공사,.,212.,.,12.,158.,158.,.,9.
,태안,출판업,2011-11-21,2011~2014,(주)엠게임,.,39.,.,.,31.,31.,.,.
,내포,"출판업,방송업,통신업,통신장비",2015-06-26,2015~2022,"한국토지주택공사, 충청남도개발공사",82.,926.,69.,184.,654.,190.,464.,4.
,천안직산,"화학,고무,1차금속,통신장비,출판업",2020-03-27,2020~2023,한국토지주택공사,34.,249.,.,51.,200.,.,200.,.
,전주,"컴퓨터소프트웨어,엔지니어링,정보통신서비스",2004-09-08,2004~2008,전주시,.,110.,.,.,39.,39.,.,62.
,순천,"의약품,비금속,1차금속,통신장비",2017-12-29,2017~2022,한국토지주택공사,14.,144.,.,32.,70.,.,70.,.
,창원덴소,자동차및트레일러,2005-11-10,2005~2010,창원시,.,145.,.,.,83.,83.,.,1.
